input,output
Your pokeballs are finished na,0pokeballs Yaa
Then why are you asking 😭 You already used up your chance right,Yaa 😂😂 All legendary encounters
Waah My battery is down I can't play,Yaa will try getting it
Yaa Tell me where you save,Well another death encounter
He died ?,Killed him since both my Pokemon are in red
😐,That's life It gives you things you can have 😂😂 Starters and legendary Pokemon have really high catch rate Pokeball can't catch them
Ohh,Yaa
Yaa,My encounters are good but at wrong time
Yeah,Atleast a ultra balls are needed with status
Yeah,Like paralize or sleep
Yeah,Or use master ball
That's guaranteed,Yaa that's why So that we atleast have encounters Not like me 2/4
Let's do 100% catch rate Since we only catch one from each area,So restart? Or just go and catch this mons?
Naa Put that cheat Go back to the routes and catch what you see first,Oh that's a good idea Will do that
Yeah Send me the cheat,Low battery will send cheat
521AF850 7820D203 121AF850 000046C0 D2000000 00000000 where did you save ?,Till barn Will continue and catch 2 Pokemon
okk I will catch though,Got this now have to catch in barn
ohh nice hes strong,I wish I get a tyranitar His ability is boost speed in sandstorm
is it hell learn good moves ofcourse it is,I found lasvesta as well After this thing
waah,"Yaa along with moltres, venasaur and torchic"
.........,I stopped after completing 1st gym
okk electriwire,Starter - Mudkip 1st route - Growlet 2nd route - exadrill Barn - celebii Add yours beside mine So we know who are linked
yepp,You got it again? Cool
yeah Starter - Mudkip  --  Bastiodon 1st route - Growlet  --  E;ectrivire 2nd route - exadrill  --  Gabite Barn - celebii  --  Manaphy,Woah gabite
Yeah Report bana aaj expense tracker ka format ke hisaab se,Thik he yeva he kya?
Pehele wala hai,to latest wala?
Jo mam ko bataya wo hai ye,acha chalega what are software and hardware requirements?
Daalde kuchbhi Basic,Arahahe kya college?
Haa,null null Kaha pe ho? null null null null null
317,null null null Sir mujhe kuch bolle kya! *? Chellaya kya?
Kuch nhi bole,Acha
Wo kisne 32 in 60 prepare Kiya hai unka naam le rahe the,Mujhe laga sir chelaye kyuke Mera video band tha Chalega
Haa Round 1 planning of 32 in 60 Go for Round 2 planning of 32 in 60 Yehi na,Yes
If done with Round 1 planning of 32 in 60 Go for Round 2 planning of 32 in 60 Ya ye ?,Ha
Done,great work
Yess,"https://www.oracle.com/java/technologies/javase/codeconventions-namingconventions.html#:~:text=Common%20names%20for%20temporary%20variables,d%20%2C%20and%20e%20for%20characters.&text=The%20names%20of%20variables%20declared,%2C%20for%20ease%20of%20debugging.) 32GB ka preinstall woah that's too much for one update"
for laptop na,Ha phir bhe 32GB is not a joke for a single update
Yes yes yes yes 9.5 GB on phone,That's so bad
My phone is 125 gb now Out of 128,Woah It's gonna be really slow I will wait and see how low it will get tomorrow
Yeah,It is like downloading genshinnonce again
Alright What did sir say about elective ?,ADBMS
Alright,I got jean
This message was deleted That's why I didn't get a message,😂😂 Naa I pulled after you send the picture
Ohkk,Tho I won't reach pity again
Alright,So maybe early pity or else bye bye
I'm at 46 in weapon banner,Yaa you are close 14more
14 ?,Yaa 60 is soft pity for weapon
Okk,Tho I am hocked on simulated universe ngl It's too much fun
Star rail ? ohkk thats huge,That's a Pokemon?
yeah wailord,You can play football On that
yeah😂😂😂,mujhe sabke output ke files bhej na
Kiske ?,os aur aoa Thanks
rest i have dbms on 26,Thanks Ha ajja tu bhe
apna presentation hai na 26 ko,30 ko mini project schedule for batch C will be on 30/04/24 because of external not available on 26/04/24
ohh 30 ko bhi hai mera practical,ha hamaranahi he Hamara L3PP changed to Tuesday
ohhh humara sunday ko hai,ha bola tha tu
Mere practical ke dates ek baar check karna Saare,26/4/24 -DBMS 30/4/24 -AOA 2/5/24 -OS
Thanks,Kahase mele the ye OS ke programs?
"kartikey ke pass se a,b,c,d ?","Naming thek A,b,c,d Dala he"
a kahape dikh raha hai,Chod Jane de
thikke,Is there an easy way to remember the commands in OS?
"Probably not 24/04/2024, 8:35 pm - Dovansh pinned a message",We can put all the dates in one group to be organised
Okk,Since we can't pin more than 1
Alright,Put all the exam dates Like viva and final sem exam
Yeah,And only put those things don't chat there
Ok,So we don't have to search
Yeah,Which is important and what is chats
Okk,Devansh Hsr luck for aventurine See all my luck went to hsr instead of genshin
Whoa You have great luck in hsr,Yep Tho hsr has alot of things
yeah it does,Ngl hsr is pretty pace changing with been turn based
is it,Yaa really have to use brain in boss fights
ohkk,Since I am mostly playing against lvl75 bosses who can pretty much one shot with underbuild characters The real fun starts after lvl60
ohhh alright kya bol raha hai grp pe tu ?,check if we have any format for ppt before makng it or else we will have to change it on monday
alright Mam ko bolde hum bhi Monday ko karenge,ho
Okk,how good is arlechheno?
I haven't tried her,so you only pulled for her and then left?
Yeah I'm not getting time to play My phone does not have charging I'll charge it tonight and play tomorrow,I see let me know if she is good
Yeah,she didn't seem that good in trials
I think you should wait for chlorinde,I got the feeling you ult and then use skill
Her animation is so so good,the red moon in background na? that was really cool why is that?
You basically never use ult only when you need healing or reset her skill For her animation,there are leaks for  her too?
Skill and burst It's just another level Better than arlechino Yeah just yesterday,i thought it was skill setup then na skill ult skill
I was shook when I saw her animation,woah i thought her main dmg is skill is it not?
Her skill and na is her main source for attacks Use na,na and not ca?
Then her blood bond gets above a certain level All her na becomes Pyro damage,i see if you say i will wait for chlorinde i think they are making animations good for characters so ppl  will pull
Yeah true HAHAHAHAHAHA HAHAHAHAHAHA,Let's goo Maja kar abhe
Haa Maje hi maje It looks cool She's gonna be my main dps till endgame,Ha
This message was deleted This message was deleted myresume-16012005v4.netlify.app try it on mobile and laptop,Laptop: There is too much space between your photo and details The spacing is kidda bad Mobile: Search bar is gone. Your car images I have to scroll. Make them vertical instead of horizontal for mobile Overall: Change color
Yeah I know there is too much space there but that's how portfolio sites are As for search bar I removed it For pictures I'll have to change the  table further for laptop too And that won't look good,So why keep it in laptop? It looks like you just put it offscreen You can't make it change according to device? Like it takes the size of screen and then put grids?
I can change css according to device,I see then keep it in center na
That's what I've done That doesn't look good I tried We can't change html according to device Atleast I can't right now,Ahh I see Got it
Yeah Ya,How does it sound?
Yeah alright,I got snivy and him. I killed snivy Ahh I can't catch him. Same route as exadrill Starter - Mudkip  --  Bastiodon 1st route - Growlet  --  E;ectrivire 2nd route - exadrill  --  Gabite Barn - celebii  --  Manaphy Vingbark Complex - reyquaza
Raquaza ? Damn,Yaa and I got 2nd badge as well Hopefully we get a good pair
You reached second gym ?? Waah I'm still there only,Yaa I mean you just go there and fight No story at all
Yeah,Story is after gym
Ya it's simple,Boring one
Ya,I only defeated the gym and then saved
Okk I'll do the same,Yaa let me know who you get
Yeah Starter - Mudkip  --  Bastiodon 1st route - Growlet  --  Electrivire 2nd route - exadrill  --  Gabite Barn - celebii  --  Manaphy Vingbark Complex - reyquaza -- mew,fitting partner we can already have Mudkip  --  Bastiodon exadrill  --  Gabite reyquaza -- mew if they don't die
Yeah https://docs.google.com/forms/d/e/1FAIpQLSerKVrSWkLiPEQCb3gH8bqKGn8q6Ywtud0kT2mnVBDcJDRVNg/viewform,Likala he kya print? Ki nikal Gaye tumlok?
Mai nikal gaya Jitna nikala tha utna hi hai Mai log book banake laaunga kal,Acha chalega
Haa,Me bhe abhe likal gaya
"Acha thikke Careers IDZ Digital internship opportunities for SE, TE and BE students Job Description for Software Developer Looking for Android App Developers who can develops code for apps Strong knowledge on java/ android/ android studio Should have excellent IT and programming skills Should be able to think out of the box. Should have a logical approach We are willing to offer internship to the students Internship Stipend-8K About us: IDZ Digital's humble beginnings can be traced back to 2004 when we began creating websites. In 2010, we became one of India's first mobile app developers, having launched our first app. Today, we are among the leading developers of apps and games for kids, with over 200 million downloads and over 100,000 5-star reviews. Life at IDZ Digital is stimulating, energetic, and immensely rewarding. Our team of more than 100 enthusiastic minds is always trying out new things and concepts to make our ideas come to life. We have development centers in Borivali and Thane providing a vibrant and joyful working environment. We're proud to give people a happy, open, and welcoming place to work. We give them responsibilities early on so they can work on their skills, learn faster and move up in their careers. Thane 101-102, Opal Square IT Park, Wagle Industrial Estate, M.I.D.C Thane  400604. Borivali B-607, Western Edge II, Behind Metro Supermarket, Near Su-Swagat Restaurant, Borivali East, Mumbai 400066. Registration link:  https://forms.gle/srUPpE755obtFF1y7 Deadline: Tuesday, April 30, 2024 (6.00 p.m.) Swapnil Desai Head, T&P Department, VPPCOE&VA. Bharte hai",Kahase dunda?
Group PE aaya Official,Ahh ha Mujhe 1-2 din Dede thekta hu me
Areee Kal last date hai,Ha thekta hu me rukhja <This message was edited>
Haa Whats wrong in this ?,The dream of all people who own a company
😂😂 But whats wrong in the program,Nothing
There is Will the last else be ever executed ?,No that's what this was
Yaaa But somethings wrong with the program too,What's wrong?
The last else When will it be executed?,Never That's the beauty
Ya that's wrong,Are it is intentional Basically a joke saying you will never die and only keep working
You want to live forever? Areee 😂😂,Samja?
Haaa,😂😂
Though it should be outside while For the program to be logical,No necessary tho. You can just put closing condition for work() and then you can die() in while <This message was edited> Devansh try pressing esc when arleccheno is glitching
Yeah I already tried On mobile though,oh she turns all dark
Yeah I know,Mera Pokemon game crash ho Raha he When I try to go in Pokemon studio
Kyuu?,Pata nahi
Dekhhhh,Are mene try Kiya phir se karne ko lekin vo crash ho Raha he Ase kese re har ek game mere isme nahi chal Raha he
Acha Dekhta hu mai mera Skill issue,Acha Thek phir tu
Haa 😂,?? Me paka ninme tha Kya meaning he iska
Kiska ? Dies while burst I didn't face any issues In the studio,Yaa idk why I faced the issue Oh I mean in burst you get i-frames So she died before and then healed up
Yeah,That's so cool It looks like adult bennet
Oh yeah it does Arlechino 80 Weapon 80 CR 76 CD 174 Atk 2000 Talent 6-2-2,That's good
yeah i got her a new flower though it has less cd it was of her set i just need one more piece to complete her set and her attacks will go above 100k,NA?
yeah,Woah that's alot of dmg
the first one in that video did 79k her talent is 6 too ill have to level that up,Woah along with lvling her and her weapon
yeah ill get 9 cd too from ascending her,Her lvl > her weapon lvl > talent lvl > artifact Yaa
yeah i was farming that boss only but im all out of resin now,Yaa resin makes grinding really boring
yeah i have 9 boss mats i need 11 more i changes her circlet,Tho do it in this order so you don't waste alot of resin on artifact To cd?
its either 63/210 or 76/174 depending on cd or dr circlet,76/174 is better
okk i was playing with that only rn i got a cr circlet but it had onlt 7 cd the one i have now has 26 how can i even top that now,Naa it's too hard
and the feather has 13 cd and cr,It's better that way
but both are of different sets ill have to replace atleast one,What r u replacing?
the 4 piece will give me another 54% damage increase,U r set really
i dont have anything to replace right now,Just run arleccheno on 1side and ayaka in other And u can do 36 stars
it can ?,If they are build then yes
the abyss has vape buff rn right,Yaa
thats good,Mostly Pyro buff instead of vap
ill have to check the builds of supports ill do it tomorrow after practical,Yaa
her burst does a measly 21k and na does 79k,As specially kazuha
yeah i gave him vv 4 piece,That's alot for lvl2 talent Good
is it in videos i saw 200k well it was crowned,Don't compare to videos
triple crowned,They do alot of crt hunting
ill just crown her na and 8 other two,Yaa do that
yeah,Ahh well rn I am doing simulated universe
ohh,Yaa world 7
i have literally stopped playing star rail you went that ahead ? difficulty ?,It's world 7 u know I have done all world 9 already on diff 3
whoa,I am cleaning up all the previous worlds for first time rewards
i might've been on 3 or 4 okk,Aventurine and acheron are just carrying
waah will i get some rewards if i join now ?,Have to keep a tab on shield and debuffs
okk,I mean there is no event going on for log in Maybe returner
anniversary rewards ?,Maybe not sure There are 3 anniversary rewards and a 10pull mail
im downloading it okk,*3 anniv events
whats its size ?,Idk about mobile maybe 20 tops
im downloading on laptop re,Maybe 40
its showing 32 gb,Yaa that would be it Next week we are getting Robin and the cowboy
ill just get robin then,Yaa I am planning on her if she is good Or else loucha Tho NGL nihility carries world 9 It is so much easy with nihility Tho u need to time your path resonance
Ohkk Alright,Each world has its useful path
Yeah I know I cleared one with hunt I don't remember which Before 4 only,Yaa hunt is not really a good path It's mostly for alot of turns in one go Which very little characters can use
I have seele,Ahh yes you did have her
yeaaaaaaah,We have to complete CET marksheet excel 2-3 din betke complete kar dete he
Haa,Allthe best for viva exam
Yes yes Thanks,devansh send me the link for cutoff and fee wala I cant find it
https://www.mahafra.org/?q=home https://ay24-25.mahafraportal.org/ssi_prp_23/outer.php?q=fee_search_report,Thanks Kal aa follow up ke liye
Haa,aja devansh
Aaya,current highest dmg in GnG
Gng ? That's a big number,"Good and gear, it is the part of simulated universe Yaa 3.5mil Because of blessings of erudition I can pretty much clear true sting in one acheron ult"
Ohhhh Nicd nice,Nicd?
Nice you know what meta data is,more faster way of retrieving stored data? 11 ko database ka kartte he
Paper ? Meta data is data about the data,paper?
Ye,I see
Ha chalega,link bana raha he kya? You deleted this message https://meet.google.com/gja-qhte-ucu Araha he kya?
Acha tu aise 11 bola Mujhe laga 11 date ko,"Thanks 07/05/2024, 11:17 pm - Dovansh pinned a message"
https://drive.google.com/drive/folders/1pCpCWz8leswq-JJ8CLJJM1VRqWCNyEju,Database Progress Done - 201-300 Ongoing - 1 - 100         - devansh 101 - 200     - amey 501 - 600     - kaustubh 601 - 700     - parth Remaining - 301 - 400 401 - 500 701 - 800 801 - 900 901 - 1000 1001 - 1100 1101 - 1200 1201 - 1300
Parth bhi ?,ha Kaustubh bola sir said ok
Okk,update and resent once done
Ha I'll do it tonight You continue,chalel
Later I'm staying awake tonight,chalega just done die
Haa Ha😂 is she good ?,She is a support which boosts atk dmg% and action forward all your allies when u use ult. She is good tho how good idk since she came out today
Ohh I'm getting a new phone,Great which one?
Samsung s23,Tu vohi bol Raha tha na tu lega karke? Good for you Abhe le Raha he?
Haa Aaj order karunga,Saihe mujhe laga tha tu exam ke baad lega phone
abhi sale laga tha,Ahh kitne me Mila?
50 ka hai mere phone ka discount karke 40 me,After sale? Or before sale?
After sale Normally it's 70k,57% discount? That's a win
That's why I went ahead with it,Yaa good call There is a summer sale too right?
Yaa,Is it over or in future?
It gets over today,Ahh I see
Yaa,Maybe they will have a sale tomorrow too
Why tomorrow? Flipkart ka and Samsung ka is ending today,I see
Amazon ka ended on 7th And all offline stores ended also on 7th Atleast around my area,I see Well congrats u got your new phone When is it good nna arrive? *gonna
today only it just shipped from thane,Wahh!? Too fast
yeah,U got premium or sth?
it was showing free priority delivery so I chose that,😂😂
or else it was showing on saturday and from flipkart it was showing 14 on our exam day,I see
yeah so I chose this 👽,this account is too cracked
tw0!!,second time
what !!! what was the first time ?,more cracked
WHAT !! is aventurine good ? I couldhave waited for firefly,yaa he carries my acheron team as a solo sustain
waah hes a shield na,ya I meant she is gonna be in her robot form
yeah sam,yaa he is good tho no heals like the pink solo sustain yaa
pink ?,fu hua or sth
there is fu hua in game ?,fu xuan
fu Xuan ?,yaa
ohhh,he gives stackable shield
I forgot about her,whereas she takes their dmg and can heal herself
the short one na,yaa
ohkk stackable shield btter,yaa tho at lvl5 of GnG and Swarm the boss can oneshot through my shield since they are so weak its all about sustain then dmg
ohkk alrighr,and my jingliu sustains are kidda bad still need a better sustain
hmmm whos the best healer curr ?,i think luochca not sure tho
ohkk,What did u do?
I created sticker from photos,Wait really? This are stickers?
Yeah,How do u do that?
It's a feature Click and hold a pic and it create a cutout,Oh wait you got your new phone?
Yeah,Cool
Yaa,How is your new phone?
It's great I can play genshin in higher settings now,Woah How much different is it?
I can play 60 fps And high settings,Yaa you need that to play once in a decade
Yaya I'll play regularly after exam,Now you also one of Samsung users like me
Yeah It's screen is small though,U won't be playing WuW?
I will,That is alittle down side
I have enough space now 256 gb,Ram?
8gb,Yaa u r good
Yeah,I heard WuW is gonna be 10gb or sth at launch
Ohhh Nicee Do you have maths ka solved pdf My WhatsApp got wiped,What even is this? Which questions?
Arlecchino glitch Solved practice problems And send me the paper mam has uploaded on the classroom,U don't have classroom?
Yeah I don't remember the password for the college email Thanks,I don't think I will get arlecheno this time <This message was edited>
Just 2 days remaining,yaa its not possible I am at 50pity and I did event as well
Whoa,so no more wishes
You already  completed it ?,its like 1 or 2 too small
I started today,yaa it is short
Okk I haven't even started studying,if u start tomorrow u can finish it in 3-4 hrs
Okk,naa then forget the event
Yaa I don't even know what to study except for maths,just study maths for now
Alright Which paper has 1 day holiday ?,aoa
Okk,ha abhe to maths padh do all your 32 in 60 firsy
Yaaa,then revise easy topics like matrice lpp then hard ones
Ok,you can complete your 32 in 60 today
Ya I'll do that,and maybe start with easy topics if u wanna stay up late
I'm gonna stay up late I want to atleast,yaa then complete 32 in 60
Haa Okk,https://meet.google.com/nmd-iyzf-jrb araha he kya?
haa Do you like dendro reactions ?,Yaa I do why?
Then pull for chlorinde,Ok Is her kit based on dendro?
she is electro but I saw leaks of her in a dendro team and it was good,I see Well electro can be used in alot of dendro teams really
yeah I know that's why I asked you im gonna either c1 arlecchino or get chiori,Choiri?
chiori geo sword came out last patch or ill get zhongli,I see nice I might waitnfor natlan tho
okkk ill see ill pull if theres a dragon,are you gonna give paper today?
Yeah Send the paper,https://meet.google.com/vtt-jjfv-gon aja meet me https://yutsumura.com/diagonalize-a-2-by-2-matrix-a-and-calculate-the-power-a100/
kartikey ka solution,Same thing then
yaa,We don't have this sum in syllabus
We don't? That's good We might get level 100 characters in 5.0,Characters? Cool more tedious farming. I hope they change the lvling system then since lvl90 is already not worth for alot of characters or give lvl100 something more than just stats
Yeah Well if they are giving special abilities or something then the ascension cost would be high too,yaa
Yaa,AoA ka paper solve karte he 2.30 ko Revision vagere kar dena
Haa,Me shayad nahi kar payunga 2.30 ko Book gayup ho gaya mera
Kyu ?,Pata nahi Mil nahi Raha Tech knowledge aur notebook bhe
😂 Kaisa hai re Book ghuma diya,Patanahi Yadd bhe nahi
Sahi Abdul brar Yt pe hai Use padh le,Acha thik he
Haa Mai bhi use hi pafh raha hu,"Thanks Nilargha Mitra, Shinghare Paritosh, E. DIYANSH EATHAKOTTI Do your submission of MUP before exam of today otherwise I will take some strict action & come to your examination hall Iske vagese aye the ma'am Abhe theka"
Haaa Submission nahi kiya tha unhone,Ajj to ma'am ne usko fail he kar Diya
Fail Kar diya ?,Patalab fail ho jata vo agar ma'am usko bohot jyada der eke jate to
Ha bhai 67k ????,😤 All my other characters has 53k Cool na? I have seen like 100k+ shields
Whaaaat,It's the wonder of preservation path and GnG dices And I do like 1M dmg total with path resonance dmg And like 50k-300k of quade dmg
Whoa,It's fun but it depends on somuch luck of getting blessings on time
Ya that's true,And difficulty 5 is no joke too One wrong turn and u r full death
Is that so,Before my first clear (my 1 and only clear) I had to do so many reruns
To get it right ?,Yaa it is really tuff and u can increase difficulty of difficulty 5
Increase even more?,Highest is 12. So the only viable choice we have is preservation path or else it is one shot to any boss
12 ??💀 That's death,Yaa diff5 has difficulty know as con sth No it's highest difficulty of diff5
Ohokk,And the boss simply one shot u Through shield and all
Through 67k shield?,The only thing saving u is destruction 3-star blessing which spreads any dmg to all your allies equally I have not even cleared diff5 con2 And 67k I only got it onces today 😂 Told yah it is super lucky dependent
Ohh😅😂 Yaaaa,Did u do the quest *?
Doing it right now,Trial is different
Is Ir It Aventurine sounds gay,Woah u had perfect timing Why?
He just does He's like Sounds goouuood Baaut,Um sure? Tho I still get why He is really good character
That I'm not denying,Where are u in story?
Thay are checking in the hotel My name isn't in the list,Ah yaa so total beginning nice
Yeah,Did you saw boothill? He is total jojo character
Not yet,Wait
Sunday and Robin just got here,It's his stand before ultimate Total jojo pose
Ohhhh,They just pick him out of jojo world
Yeah,Ahh yaa I liked him I made him say 'cool hump!' all the time
Yeah me too,My mobile and laptop can't meet the bare minimum of playing WuW <This message was edited>
What 😂😂😂,Yaa it's like snapdragon 7 or sth. And i7 gen9 for laptop <This message was edited> My laptop don't even have i5
Ya snapdragon 7 series above and i7 and above I can play,Yaa right I will be on lowest even on my laptop
That's why I told you get a new laptop,Or maybe it is for playing on highest settings Na not gonna happen
Ya maybe,Well let's see when it comesout anyways
Yeah 5 days,Yep
soja,😅
Uth gaya?,Ha kyu?
Aise hi,Acha Good morning
Ya Good morning,Saihe re 20
"https://youtu.be/3z3ljTq4mcE?si=PTwnxJCBoLUTC1pO The brand new open-world ARPG, Wuthering Waves, is upcoming. Participate in the event to win the 5-Star Echo, Astrite, and other amazing rewards! #WutheringWaves https://webevent-echoes-a.kurogames-global.com/share/96b94ea5a6a59ba0e3bc7483a9be9c24c82bb427 Tap now for a chance to claim 【Electro Predator (3-star)】 for your account! Wuthering Waves, a brand new open-world ARPG #WutheringWaves https://webevent-echoes-a.kurogames-global.com/share/99c525c4c16cc9dbd0cd41d5a5c09f15d3394c8c","The Wuthering Waves file size for PC is 30 GB according to its Epic Store page. Keep in mind that as Wuthering Waves will have regular updates, the amount of space it takes up will grow. 30GB? is there nothing as reduced space complexity?"
That's pretty low,for ver1.0?
Yeah I guess Check for genshin impact,a gacha game? genshin had  10GB
Ya just saw Then it is pretty high Then I guess it would be pretty high intensive game It has various mechanics too,😅
It's 357 mb,for me rn and I don't have enko unlocked yet its well around 400 oh wait its mb <This message was edited>
Ya but the app Data would me more na,yaa it would be around 90 or sth
Yaa That's too much That's why i deleted it <This message was edited>,it will grow more in size tho yaa
I would rather play ghost of tshushima or forward horizon,i will delete it too mostly or else not gonna play wuw yaa true genshin has so much useless space
Hmm Ya but phone ha is reduced It's kinda small now compared to before,even if i only have fontaine as the whole game the gameplay would be same for me
Yaa,since i never use other regions they shuld make it so that we can delete stuff we don't want
Genshin is 27 gb now,for mobile?
It was around 17 18 when it got updated Yaa,woah it is so much more less
Yaaa And I have already deleted the other language voice over and previous game data You can,Genshin Impact requires 72.5 GB of storage space on PC
Waah That's too much,i meant delete whole region ikr just to play for 5min and then dip
Not that much They have given an option to delete unwanted data,i mean how many ppl really go to monstade? maybe 1%? who does to inazuma?
No one maybe,only when we have event or mat farming
Yaa,that's all it is unwanted data
They should turn on remote farming We can enter from anywhere,i mean they already don't give content and now they are taking content which was already there
There is new endgame content coming In 4.7,"The current file size for Honkai: Star Rail is 30.5 GB for Windows, 14.4 GB for Android, and 18.52 GB for iOS. that's low atleast whats that? shoot ballons? <This message was edited>"
Imaginarium something It'll be kinda like simulated universe,its like the event we had once
Which,naa id think so su is  too complex then this we had sth like this i remember playing
Ya maybe Even WW has simulated uni and abyss like gameplays,lol su type content is pretty common huh
Yaa Let's see which is better,but seriously su is so much fun because depending on your blessing/build your experience change so much
Yaa I'm gonna download Sr on phone it's too boring to play on laptop,like a elation 3* blessing your ult is considered follow up so like u can play follow up without follow up characters
Waah 😂,yaa true and it is better on mobile i personally think
Ya same,really there is a erudition blessing with just gives u ur burst back after using
💀,tho u need charge for that  blessing
Charge ?,so like for characters like achron who does a lot of dmg viia ult u do 2 ults of her
Ohhh,yaa u need to charge to 100% to burst twice or else it would  be too broken
Even solo leveling had a GAme,yaa i saw it
Ya true,gacha again
Is it ? Then it'll be trash,mostly it would be gacha since less work more money
its taking too much time to log in im getting 25 to 30 mbps speed,restart it is much better if its too slow
aew 25-30MB/s that's fast,wait how r u even getting that fast net? ?
na its almost done 5g,cool
yeah Look at the rewards !!,Yaa those r atleast 1 5* worth of wishes!! Pre download and estimated opening
Yeah,Konse server PE tu ghelne wala he?
Asia,Alright I will choose the same then
Yaaa But why is it may 23 ? Wasnt it tomorrow,Time zone difference
So much? What's sea server ? It showed me sea server recommended,Yaa sea is better for us Southeast Asia It's better for ping since we are closer to SEA then Asia You thought it's sea didn't you?
Yaa So should we do sea ?,😂😂 I was thinking the same first time I saw it. It is very rare to see SEA
Is it,I mean I get yellow ping in Asia for genshin so it is not that bad Tho sea is better
So which to choose ?,Since we get better ping and daily reset will be different And coop will change those r only 2 things different
So should I change it to sea ? Ya that's fine na,Yaa keep it on sea I will choose sea too
I don't wanna encounter those Indonesia people,It is mostly Philippine and Indonesia PPL along with India and some other countries
Hmmm,It doesn't matter Asia or sea really for us
Ya Only ping Then sea it is,Yaa
Yep haa,ok
I did on mobile though,we can do anything or just download and server?
we can just login for now robin dies ?,Yaa It is showing 2hrs to download 1MB speed The UI feels like old games don't you think? The color combination is different
is it done downloading ? yeah it does I liked the background though,Yaa it's downloading or verifying sth
thatl take time,It looks and feels like old games really
yeah I know,The curson and all the graphics
but I like the feel yeah the graphics look good too,Doesn't it looks like it's in cb still? Maybe it's just me
ya maybe,Maybe some stuff will change when the server actually open
yeah its at 10 day after,10days after? Isn't it on 23rd?
are its at 10am day after tomorrow,Oh it's 10AM for us?
yaa,Nice
see,If we wanna play on launch we will have to do all the study tomorrow
yeah,😅
yeah,Isn't that 3.30 for us then? That's a random time in the mid of day
yeah that's random,Well can't help it So we have 1 and a half day
yeah its ok time for us yeah,If we wake up early Yaa
haa' Thanks Thankss,You're welcome
Genshin resin cap will be increased to 200 in 4.7,I see And what about regenerate rate for resin? <This message was edited> The launch is on 7.30AM our time Not 3PM
so we can play at 7.30 ?,Yes
nothing about that,Official Did you studied today?
yeah somewhat,I did all the sums have to complete theory
ohh i did theory will do sums tomorrow,Theory is alot or little?
alo t The game is good Characters have 150 crit damage by default !!,Nice What about crt rate? 50?
5,😂
Ya You didn't play ?,Naa I didn't studied yesterday
Ohok,🤦‍♂️ Yaa maybe I will play in evening if I manage to complete before that
Yaaaa,Or else tomorrow after paper Let me know who you get as your first 5*
Yaaa,You going for limited character too?
Well I'm just pulling with everything I have,Ahh nice Are you aiming for someone or happy with what you get?
There is a 5 star in 40 pulls which Is worth 50 pulls,Beginner banner?
Standard Yeah,Nice How many u did?
20,Nice only 20 more to go
We get free 20 in the beginning,Really? That's nice
Yaa Standard ones,Maybe other rewards will come tomorrow Nice
All are there But there are requirements,Limited ones?
Like Ya those haven't come We get 10 na,Yes I think 10 in mail and 1600 premium currency
We'll get 40 more standard pulls when we reach level 45 Yeah,Woah 40?
Yaa,Cool
